Career,Possible Abilities,Possible Skills,Restrictions,Special,Starting Assets,Starting Connections,Starting Money
Alchemist,"Bomber, Brew Master, Fast Cook, Field Alchemist, Fire in the Hole!, Free Style, Grenadier, Poison Resistance","Alchemy 4D, Any Craft 4D, Forgery 2D, General Skills 4D, Healing 4D, Persuasion 4D, Research 4D; Hand Weapon 2D, Throwing 4D, Unarmed Combat 2D",,,"alchemist's leather, gas mask, traveling alchemist's kit, any five alchemical grenades, grenadier's bandolier",None,50
Allegiant (Order of the Fist),"Acrobatics, Chain Attack: Body Slam, Cicular Vision, Fist of God, Fleet Foot, Flesh of Steel, Flying Fists, Hardened Strike, Iron Will, Precision Strike, Reed in the Wind, Serpent Strike, Shifting Sands Stance, Steady, Trip, Waylay, Whirlwind","General Skills 4D, Interrogation 3D, Law 3D, Sneak 4D, Survival 4D; Hand Weapon 3D, Unarmed Combat 4D","Cutthroat, Investigator, Priest (Menoth), Ranger, Scrutator, Spy, Warcaster, Warcaster (Protectorate)",,none,Order of the Fist,0
Arcane Mechanik (Vassal of Menoth),"'Jack Marshall, Ace Commander, Arcane Engineer, Drive: Assault, Drive: Pronto, Inscribe Formulae, Resourceful, Steamo","Command 1D, Any Craft 4D, Cryptography 3D, General Skills 4D, Mechanikal Engineering 4D, Persuasion 2D, Research 3D; Hand Weapon 2D, Light Artillery 2D, Rifle 2D","Alchemist, Arcanist, Field Mechanik, Priest (Menoth),  Sorcerer (Fire), Sorcerer (Ice), Sorcerer (Stone), Sorcerer (Storm), Arcanist (Greylord)",,"rune etching kit, Vassal Armor",Vassals of Menoth,50
Arcane Mechanik,"'Jack Marshall, Ace Commander, Arcane Engineer, Drive: Assault, Drive: Pronto, Inscribe Formulae, Resourceful, Steamo","Command 1D, Any Craft 4D, Cryptography 3D, General Skills 4D, Mechanikal Engineering 4D, Persuasion 2D, Research 3D; Hand Weapon 2D, Light Artillery 2D, Rifle 2D",,,"rune etching kit, mechanika weapon or suit of armor worth up to 750 gc, including the housing, power source, and rune plate.",None,50
Arcanist (Greylord),"Arcane Defenses, Arcane Scholar, Great Power, University Education","Any Craft 2D, Etiquette 2D, General Skills 4D, Persuasion 2D, Oratory 2D, Research 4D; None","Alchemist, Arcane Mechanik, Aristocrat, Explorer, Horseman, Investigator, Military Officer, Sorcerer (Fire), Sorcerer (Ice), Sorcerer (Stone), Sorcerer (Storm), Spy, Warcaster, Warcaster (Khadoran)",,None,Greylord Covenant,75
Arcanist (Illuminated),"Arcane Defenses, Arcane Scholar, Great Power, University Education","Any Craft 2D, Etiquette 2D, General Skills 4D, Persuasion 2D, Oratory 2D, Research 4D; None",,,None,Order of Illumination,75
Arcanist (Trident),"Arcane Defenses, Arcane Scholar, Great Power, University Education","Any Craft 2D, Etiquette 2D, General Skills 4D, Persuasion 2D, Oratory 2D, Research 4D; Hand Weapon 3D, Pistol 3D","Arcane Mechanik, Aristocrat, Explorer, Soldier (Marine), Military Officer, Warcaster (Ordic), Pirate, Priest (Morrow), Sorcerer (Fire), Sorcerer (Ice), Sorcerer (Stone), Sorcerer (Storm)",,None,Ordic Military,75
Arcanist,"Arcane Defenses, Arcane Scholar, Great Power, University Education","Any Craft 2D, Etiquette 2D, General Skills 4D, Persuasion 2D, Oratory 2D, Research 4D; None",,,None,None,75
Archer,"Adjust Aim, Arcing Shot, Blur of Motion, Crackshot, Dual Shot (Archery), Fast Draw, Keen Eyed, Marksman, Return Fire, Saddle Shot, Shootist, Snap Fire, Targeteer","General Skills 4D, Sneak 3D, Survival 3D, Tracking 3D,Any Craft(Fletcher) 4D; Archery 4D",,,"Bow, Quiver of 10 arrows (any type)",None,25
Aristocrat,"Advisor, Appraise, Battle Plan: Call to Action, Expert Rider, Good Breeding, Language, Natural Leader, Poison Resistance, Privilege, Rallying Cry, Swift Rider","Bribery 4D, Command 4D, Cryptography 2D, Deception 4D, Etiquette 4D, General Skills 4D, Law 4D, Persuasion 4D, Oratory 4D, Seduction 4D; Archery 2D, Hand Weapon 3D, Lance 3D, Pistol 2D, Rifle 3D",,,None,Nobility,200
